FinishPosition,Surname,Firstname,Club,RunnerCategory,FinishTime,,,,,,,,
1,McPherson,Chris,Unattached,M Senior,00:23:29,,,,,,,,
2,Cruickshank,Jordan,Metro Aberdeen,M Senior,00:25:02,,,,,,,,
3,Barclay,David,Garioch Roadrunners,M Senior,00:25:28,,,,,,,,
4,Simpson,Stephen,Kintore JS,M Senior,00:26:03,,,,,,,,
5,Aitken,Graham,Insch Trail RC,M Senior,00:26:13,,,,,,,,
6,Sharp,Fraser,Huntly Quines & Loons,M Senior,00:26:23,,,,,,,,
7,Naughton ,Gregor,Deveron Harriers,M Senior,00:26:28,,,,,,,,
8,Williamson,Jason,Cosmics,M Senior,00:26:50,,,,,,,,
9,Scott,Murray,Unattached,M Junior,00:27:00,,,,,,,,
10,Duncan,Scott,Huntly Quines & Loons,M Senior,00:27:27,,,,,,,,
11,Stewart,Keith,Moray Road Runners,M Senior,00:27:30,,,,,,,,
12,Barron,Liam,Insch Trail RC,M Senior,00:27:41,,,,,,,,
13,Hargreaves,Stephen,Unattached,M Senior,00:27:52,,,,,,,,
14,McKen,Kevin,Insch Trail RC,M Senior,00:28:13,,,,,,,,
15,Naughton ,David,Deveron Harriers,M Senior,00:28:25,,,,,,,,
16,Muir,Amy,Stonehaven RC,F Senior,00:29:15,,,,,,,,
17,Cruickshank,James,Metro Aberdeen,M Senior,00:29:16,,,,,,,,
18,Duncan,Logan,Unattached,M Junior,00:29:29,,,,,,,,
19,Cruickshank,Greig,Kintore JS,M Senior,00:29:29,,,,,,,,
20,Clark,Chantel,Unattached,F Senior,00:29:33,,,,,,,,
21,Dey,Jacqoline,Insch Trail RC,F Senior,00:30:32,,,,,,,,
22,Law,Mark,Huntly Quines & Loons,M Senior,00:30:38,,,,,,,,
23,Anderson,Adam,Unattached,M Junior,00:30:54,,,,,,,,
24,Harris,Diane,Unattached,F Senior,00:30:54,,,,,,,,
25,McLelland,Drew,Kintore JS,M Senior,00:31:03,,,,,,,,
26,Anderson,Colin,Unattached,M Senior,00:31:15,,,,,,,,
27,Lovie,Louise,Dufftown JS,F Senior,00:31:35,,,,,,,,
28,Gibson,Wayne,Insch Trail RC,M Senior,00:31:51,,,,,,,,
29,Provan,Louise,Fife AC,F Senior,00:31:56,,,,,,,,
30,Reed,Joyce,Huntly Quines & Loons,F Senior,00:32:16,,,,,,,,
31,Roy,Lindsay,Unattached,F Senior,00:32:20,,,,,,,,
32,Silcocks,Linda,Alford RC,F Senior,00:32:45,,,,,,,,
33,Webster,Ross,Insch Trail RC,M Senior,00:32:59,,,,,,,,
34,Gibson,Lesley,Unattached,F Senior,00:33:11,,,,,,,,
35,Shippin,Max,Hazlehead JS,M Senior,00:33:36,,,,,,,,
36,Anderson,Zander,Unattached,M Junior,00:33:40,,,,,,,,
37,Beaton,Linda,Kintore JS,F Senior,00:33:47,,,,,,,,
38,Stewart,Lisa,Insch Trail RC,F Senior,00:33:51,,,,,,,,
39,Knowles,Jim,Alford RC,M Senior,00:34:09,,,,,,,,
40,McDonald,Hamish,Huntly Quines & Loons,M Senior,00:34:12,,,,,,,,
41,Campbell,Rod,Cosmics,M Senior,00:34:20,,,,,,,,
42,Walker,Jamie,Kintore JS,M Senior,00:35:57,,,,,,,,
43,Duggan,Alba,Garioch Roadrunners,F Senior,00:36:36,,,,,,,,
44,Rogers,Calum,Huntly Quines & Loons,M Junior,00:36:56,,,,,,,,
45,Whyte,Jo,Garioch Roadrunners,F Senior,00:37:00,,,,,,,,
46,Ipsen,Caroline,Unattached,F Senior,00:37:31,,,,,,,,
47,Duncan,Darren,Unattached,M Senior,00:37:51,,,,,,,,
48,Davidson,Andrew,Peterhead AAC,M Senior,00:37:51,,,,,,,,
49,Heron,Carrie,Huntly Quines & Loons,F Senior,00:37:58,,,,,,,,
50,Sim,Bob,Garioch Roadrunners,M Senior,00:38:06,,,,,,,,
51,Plaine,Kyle,Unattached,M Junior,00:38:11,,,,,,,,
52,Elrick,John,Kintore JS,M Senior,00:38:11,,,,,,,,
53,Denham,Kim,Huntly Quines & Loons,F Senior,00:38:21,,,,,,,,
54,Murray,Anne,Insch Trail RC,F Senior,00:38:51,,,,,,,,
55,Thomson,Frances,Garioch Gazelles,F Senior,00:39:04,,,,,,,,
56,Muirden,Dennis,Unattached,M Senior,00:39:35,,,,,,,,
57,Arthur,Wendy,Unattached,F Senior,00:39:42,,,,,,,,
58,Irvine,Gail,Kintore JS,F Senior,00:40:59,,,,,,,,
59,Morrison,Amanda,Huntly Quines & Loons,F Senior,00:41:28,,,,,,,,
60,Dent,Rhona,Huntly Quines & Loons,F Senior,00:41:51,,,,,,,,
61,Milne,Louisa,Unattached,F Junior,00:42:10,,,,,,,,
62,Druce,James,Unattached,M Senior,00:42:54,,,,,,,,
63,Taylor,Sue,Cosmics,F Senior,00:44:04,,,,,,,,
64,Homer,Karen,Turriff RC,F Senior,00:46:08,,,,,,,,
65,Kirk,Helen,Turriff RC,F Senior,00:50:59,,,,,,,,
66,Sharp,Christine,Huntly Quines & Loons,F Senior,00:51:09,,,,,,,,
67,Duncan,June,Huntly Quines & Loons,F Senior,00:51:09,,,,,,,,
68,Milne,Cait,Unattached,F Junior,00:53:29,,,,,,,,
69,Milne,Carol ,Unattached,F Senior,00:53:29,,,,,,,,
